dm_desc	frequency
Fyn proto-oncogene tyrosine kinase, SH3 domain	16
Lysyl-tRNA synthetase (LysRS)	16
G-protein coupled receptor kinase 2	16
Glutaconyl-CoA decarboxylase A subunit, C-terminal domain	16
delta subunit	16
Arsenate reductase ArsC	16
D-lactate dehydrogenase	16
Antitrypsin, alpha-1	16
Nitric oxide reductase N-terminal domain	16
Protein C inhibitor	16
Type I TGF-beta receptor R4	16
Allophycocyanin alpha subunit	16
Phosphoserine phosphatase	16
Histone acetyltransferase HPA2	16
Type 1 signal peptidase	16
Endo/exocellulase:cellobiose E-4, C-terminal domain	16
Endo/exocellulase:cellobiose E-4, N-terminal domain	16
Zinc-alpha-2-glycoprotein, ZAG	16
Photosystem II CP43 protein PsbC	16
Carboxysome shell protein CcmK4	16
Cobalamin-dependent methionine synthase MetH, C-terminal domain	16
NADPH-cytochrome p450 reductase	16
Cobalamin-dependent methionine synthase MetH, N-terminal domain	16
Zinc-alpha-2-glycoprotein, ZAG, alpha-3 domain	16
Endothiapepsin	16
NK cell-activating receptor nkg2d	16
Carbapenem synthase, CarC	16
Phycobilisome degradation protein NblA	16
ATP-dependent protease La (Lon), N-terminal domain	16
Staphylococcal enterotoxin A, SEA	16
D-methionine transport system permease protein MetI	16
Acetyl-CoA synthetase	16
Estrogen sulfotransferase (STE, sult1e1)	16
Platelet basic protein, PBP	16
Mevalonate kinase	16
Methylmalonyl-CoA epimerase	16
RDV p3	16
Poly(A)-binding protein	16
Poly(ADP-ribose) glycohydrolase (PARG) catalytic domain	16
meso-2,3-butanediol dehydrogenase	16
Molybdopterin synthase subunit MoaE	16
Hypothetical protein TT1465 (TTHA1644)	16
Polymeric-immunoglobulin receptor, PIGR	16
Seryl-tRNA synthetase (SerRS)	16
Hypothetical protein Atu2144	16
Class tau GST	16
Class phi GST	16
Class II ketol-acid reductoisomerase (KARI)	16
Class II ketol-acid reductoisomerase	16
Starch utilization system protein SusD	16
Hypothetical protein Them2	16
Rad50	16
Periplasmic nitrate reductase alpha chain	16
Streptococcal pyrogenic exotoxin Spe-J	16
Periplasmic nitrate reductase alpha chain, NapA	16
5'-Methylthioadenosine/S-Adenosylhomocysteine nucleosidase	16
Penicillin-binding protein 2, PBP2	16
Hypothetical protein YtmB	16
Peroxiredoxin 5	16
5-keto-4-deoxyuronate isomerase KduI	16
6-hydroxy-d-nicotine oxidase	16
Streptococcal superantigen Spe-C	16
6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase, HPPK	16
EGF receptor Cys-rich domains, C-terminal domain	16
N-acetyl-l-glutamate kinase	16
Human estrogenic 17beta-hydroxysteroid dehydrogenase	16
Smad2 MH2 domain	16
Phenylethanolamine N-methyltransferase, PNMTase	16
NADH-quinone oxidoreductase chain 5, Nqo5	16
Mycinamicin III 3'-O-methyltransferase MycF	16
Phosphonoacetaldehyde hydrolase	16
Methicillin resistance regulatory protein MecI	16
Tellurite resistance protein B, TehB	16
Mammalian type I hexokinase	16
beta-Methylaspartase	16
Major urinary protein/alpha-2u-globulin	16
Adenosine-5'phosphosulfate kinase (APS kinase)	16
Pyruvate dehydrogenase E1 component, C-domain	16
HCN pacemaker channel	16
Head morphogenesis protein gp7	16
Sporulation response regulator Spo0F	16
Hypothetical protein Smu.260	16
Beta-glucosidase C-terminal domain	16
FKBP52, N-terminal domains	16
Adenylosuccinate lyase	16
Beta-glucosidase PA14 domain	16
Beta-glucosidase middle domain	16
FMDV leader protease	16
DC-SIGNR (DC-SIGN related receptor)	16
Primase fragment of primase-helicase protein	16
Interleukin-13 (IL-13)	16
Ovalbumin	16
Probable LysR-type transcriptional regulator PA0477	16
Pyruvate dehydrogenase E1 component, PP module	16
butyrate kinase 2	16
Beta-glucosidase	16
Interleukin-22 (IL-22)	16
Hellethionin D	16
Groucho/tle1, C-terminal domain	16
Flavodoxin FldA	16
2,3-diketogulonate oxidoreductase (YiaK)	16
Internalin A	16
Translin	16
Vimentin coil	16
Inward rectifier potassium channel kirbac3.1	16
Translationally controlled tumor protein TCTP (histamine-releasing factor)	16
Mavicyanin	16
Methylmalonyl-CoA mutase beta subunit, C-terminal domain	15
Ribosomal protein L11, N-terminal domain	15
Jumonji domain-containing protein 2A	15
Dihydrolipoamide dehydrogenase, middle domain	15
Adenylyl cyclase VC1, domain C1a	15
Tumor necrosis factor receptor superfamily member 17, BCMA	15
p56-lck tyrosine kinase, SH3 domain	15
Photosystem I accessory protein E (PsaE)	15
Retinal dehydrogenase/reductase 3	15
von Willebrand factor binding domain of glycoprotein Ib alpha	15
Phycoerythrin 545 alpha-subunits	15
Cytochrome f subunit of the cytochrome b6f complex, transmembrane anchor	15
Insulin-like growth factor	15
Cyclin-dependent PK, CDK6	15
Disabled homolog 2 (Dab2)	15
Platelet-activating factor acetylhydrolase IB subunit alpha	15
c-jun N-terminal kinase (jnk3s)	15
Methylmalonyl-CoA mutase beta subunit, domain 1	15
The spindle assembly checkpoint protein mad2	15
Methylmalonyl-CoA mutase alpha subunit, C-terminal domain	15
Proto-oncogene serine/threonine-protein kinase Pim-1	15
Methylmalonyl-CoA mutase alpha subunit, domain 1	15
Extracellular dodecameric hemoglobin (erythrocruorin), subunit II (globin B)	15
Granulocyte-colony stimulating factor (G-CSF)	14
Troponin T	14
Hypothetical protein NE0621	14
Hyaluronidase, post-catalytic domain 3	14
L,D-transpeptidase, C-terminal, catalytic domain	14
HAP1	14
Tetrahydrofolate dehydrogenase/cyclohydrolase	14
5'-nucleotidase (syn. UDP-sugar hydrolase), N-terminal domain	14
5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain	14
Alpha-2,3/8-sialyltransferase CstII	14
Hypothetical protein PH0642	14
Ran-GTPase activating protein 1 (RanGAP1), C-terminal domain	14
Trypsin inhibitor	14
Hypothetical protein PG130 (SAV0165)	14
Guanidinoacetate methyltransferase	14
Growth hormone, somatotropin	14
Griffithsin	14
Retinoic acid receptor beta (RAR-beta)	14
Hypothetical protein TTHA1280, middle and C-terminal domains	14
Hemolytic lectin CEL-III, C-terminal domain	14
Hyaluronidase N-terminal domain	14
3,4-dihydroxy-2-butanone 4-phosphate synthase, DHBP synthase, RibB	14
Hypothetical protein BT3146	14
Integrin alpha1-beta1	14
RNA-binding protein 8	14
tRNA nucleotidyltransferase, second domain	14
Trimethylamine dehydrogenase, N-terminal domain	14
Trimethylamine dehydrogenase, C-terminal domain	14
tRNA nucleotidyltransferase, N-terminal domain	14
Hypothetical protein TM1410	14
Head and neck region of the ectodomain of NDV fusion glycoprotein	14
Hypothetical protein ECA1738	14
tRNA adenosine deaminase TadA	14
RlmB, C-terminal domain	14
Glycinamide ribonucleotide transformylase PurT, C-domain	14
Hemolytic lectin CEL-III, domains 1 and 2	14
Glycinamide ribonucleotide transformylase PurT, N-domain	14
Glycinamide ribonucleotide transformylase PurT, domain 2	14
Trimethylamine dehydrogenase, middle domain	14
Hap1 (Cyp1)	14
Rab7	14
Two-domain LplA, N-terminal domain	14
Transferrin receptor-transferrin complex	14
Ribosomal protein L32p	14
ISHP608 transposase	14
Hypothetical protein TTHA1280, N-terminal domain	14
Alpha-crustacyanin	14
ABC transporter, periplasmic substrate-binding protein VCA0807	14
Two-domain LplA, C-terminal domain	14
Anti-apoptotic protein survivin	14
ATP sulfurylase C-terminal domain	14
Adenylyl cyclase IIC1, domain C2a	14
HU protein	14
Hypothetical protein Lmaj011689	14
RNase P protein component 2, Rnp2	14
Interleukin-10 (cytokine synthesis inhibitory factor, CSIF)	14
Anthranilate synthase aminodeoxyisochorismate synthase/lyase subunit, TrpE	14
APOBEC3F	14
tRNA nucleotidyltransferase, C-terminal domain	14
Cytochrome c nitrite reductase	14
Uncharacterized protein TM0581	14
Salicylate biosynthesis protein PchB	14
c-KIT receptor	14
Maltodextrin phosphorylase (MALP)	14
Probable nucleotidyltransferase subunit TTHA0048	14
Siroheme synthase CysG, domains 4 and 5	14
Class I alpha-1;2-mannosidase, catalytic domain	14
c-src protein tyrosine kinase	14
Beta-fructosidase (invertase), N-terminal domain	14
Beta-fructosidase (invertase), C-terminal domain	14
Enterochelin esterase	14
Baseplate protein gpP, N-terminal domain	14
Baseplate protein gpP, C-terminal domain	14
Penicillin-binding protein 2x (pbp-2x), c-terminal domain	14
Flavodoxin	14
Prokaryotic AspRS, insert domain	14
Bacteriocin AS-48	14
Fc (IgG) receptor, alpha-3 domain	14
PcrB protein homolog YerE	14
Bacterial epoxide hydrolase	14
Bacterial aa3 type cytochrome c oxidase subunit III	14
Bacillus 1-3,1-4-beta-glucanase	14
Demethylmenaquinone methyltransferase	14
cGMP-specific 3',5'-cyclic phosphodiesterase pde5a1-Ibmx	14
Axin 1	14
Lipoxigenase, C-terminal domain	14
Fusion glycoprotein E1	14
DNA replication complex GINS protein PSF1	14
Staphopain SspB	14
Stalk of the ectodomain of NDV fusion glycoprotein	14
DNA primase DnaG catalytic core	14
Protein kinase C inhibitor-1, PKCI-1	14
Biotin biosynthesis protein BioH	14
Fc (IgG) receptor, alpha-1 and alpha-2 domains	14
DNA methylase TaqI, N-terminal domain	14
Poly(RC)-binding protein 2	14
Carbamate kinase	14
Eosinophil cationic protein (ECP), ribonuclease 3	14
Picromycin polyketide synthase	14
Cas2	14
Plant lipoxigenase	14
ZapA homologue PA5227	14
Plant purple acid phosphatase, catalytic domain	14
Mono-heme c-type cytochrome SoxX	14
alpha-Cobratoxin	14
Sentrin-specific protease 1	14
Phosphoprotein P (M1)	14
Mortality factor 4-like protein 1, MRG15	14
Uncharacterized protein Mll9387	14
Methylenetetrahydrofolate dehydrogenase/cyclohydrolase	14
Phosphoglycerate kinase	14
DnaK suppressor protein DksA, alpha-hairpin domain	14
Exosome complex RNA-binding protein 1, ECR1	14
Meiotic recombination protein DMC1/LIM15 homolog	14
beta-Glucuronidase, domain 3	14
N-acetylglucosamine kinase, NAGK, C-terminal domain	14
N-acetylglucosamine kinase, NAGK, N-terminal domain	14
C-terminal domain of molybdate-dependent transcriptional regulator ModE	14
Selenocysteinyl-tRNA synthase (SepSecS)	14
Urease metallochaperone UreE, C-terminal domain	14
Urease metallochaperone UreE, N-terminal domain	14
Uncharacterized protein ECA1013	14
PrmA-like protein TTHA0656 (TT0836)	14
Fascin	14
Uncharacterized protein C1556.08c	14
DnaK suppressor protein DksA, zinc finger domain	14
GDP-mannose mannosyl hydrolase NudD	14
Enterochelin esterase, catalytic domain	14
Cyclin-dependent PK, CDK5	14
Protein tyrosine phosphatase type IVa	14
Core domain of telomere end binding protein beta subunit	14
Copper chaperone	14
Nitrate/nitrite response regulator (NarL)	14
DEXX box DNA helicase	14
L-serine dehydratase	14
Cystathionine beta-lyase, CBL	14
Vacuolar protein sorting-associated protein 23, VPS23	14
Arylesterase	14
Crotonobetainyl-CoA:carnitine CoA-transferase, CaiB	14
Nucleoside 2-deoxyribosyltransferase	14
Transcriptional coactivator PC4 C-terminal domain	14
Purple acid phosphatase, N-terminal domain	14
Coproporphyrinogen III oxidase	14
Cytosine deaminase	14
Geminin coiled-coil domain	14
Cytokine receptor common gamma chain	14
DNA methylase TaqI, C-terminal domain	14
Arginine methyltransferase, HMT1	14
Oxysterols receptor LXR-alpha	14
Vacuolar protein sorting-associated protein VPS25	13
Adaptor protein ClpS (YljA)	13
The Xlp protein Sap	13
NAD-quinone oxidoreductase chain 6, Nqo6	13
von Willebrand factor A3 domain, vWA3	13
Chk2 kinase	13
RabGEF1 (Rabex-5), ubiquitin-binding domain	13
Hydrogenase expression/formation protein HypC	13
C-jun	13
Acidic mitochondrial matrix protein p32	13
Guanylate kinase-like domain of the L-type calcium channel	13
Transaldolase	13
beta-Hydroxydecanol thiol ester dehydrase	13
CBP80, 80KDa nuclear cap-binding protein	13
4-hydroxybenzoyl-CoA reductase alpha subunit HrcA, C-terminal domain	13
Rab guanine nucleotide exchange factor Sec2	13
4-hydroxybenzoyl-CoA reductase alpha subunit HrcA, N-terminal domain	13
Cryptochrome C-terminal domain	13
4-hydroxybenzoyl-CoA reductase gamma subunit HrcC, C-terminal domain	13
(Pro)cathepsin L	13
4-hydroxybenzoyl-CoA reductase gamma subunit HrcC, N-terminal domain	13
CheY-binding domain of CheA	13
Matriptase MTSP1	13
Ribosomal protein L20	13
Porin chaperone SurA, PPIase domains	13
Anti-sigma factor antagonist SpoIIaa	13
Arfaptin, Rac-binding fragment	13
Abl tyrosine kinase, SH3 domain	13
TNF-alpha converting enzyme, TACE, catalytic domain	13
PCF11 protein	13
Calcium ATPase, catalytic domain P	13
Viral histone H3 Lysine 27 Methyltransferase	13
Calcium ATPase, transduction domain A	13
Cobalt-containing nitrile hydratase	13
Calcium ATPase, transmembrane domain M	13
Type II activin receptor	13
Ubiquitin-protein ligase E3a (E6ap)	13
Calcium ATPase	13
Hypothetical protein TTHA0625	13
GBP21	13
Three prime repair exonuclease 1, TREX1	13
DNA terminal protein	13
TGF-beta type II receptor extracellular domain	13
DNase domain of colicin E7	13
Transcriptional regulator RHA1_ro04179	12
Mlc protein	12
Phenol hydroxylase, C-terminal domain	12
Cytoglobin	12
Subunit III of photosystem I reaction centre, PsaF	12
Mlc protein N-terminal domain	12
Serotonin N-acetyltranferase	12
6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase, phosphatase domain	12
Mitotic arrest deficient-like 1, Mad1	12
Cytochrome c4	12
Hypothetical protein R05D8.7	12
Cyclomaltodextrinase, central domain	12
N-acetylmuramoyl-L-alanine amidase PlyG	12
Hypothetical protein PA3008	12
Carboxypeptidase G2, catalytic domain	12
Chimeric hemoglobin beta-alpha	12
(Pro)aerolysin, pore-forming lobe	12
Hydrogenase maturating endopeptidase HybD	12
Carboxypeptidase G2	12
Cytochrome P450-NOR, nitric reductase	12
Peroxisomal trans 2-enoyl CoA reductase	12
putative ATP-dependent RNA helicase PF2015, C-terminal domain	12
E2 regulatory, transactivation domain	12
Moesin	12
Phenyl-tRNA synthetase (PheRS) alpha subunit, PheS	12
Electron transfer flavoprotein-ubiquinone oxidoreductase, EFT-QO	12
Cystathionine gamma-lyase (CYS3)	12
Catechol 2,3-dioxygenase (metapyrocatechase)	12
Hypothetical protein NMB1681	12
ADP-ribose pyrophosphatase	12
Muconate-lactonizing enzyme	12
Transcriptional regulator OEOE1854	12
Cathepsin G	12
Muconate-lactonizing enzyme (cis muconate cycloisomerase)	12
Multidrug resistance ABC transporter MsbA, N-terminal domain	12
Imidazolonepropionase	12
YutG homologue	12
O-succinylbenzoate synthase	12
Transcriptional regulator Cgl2612	12
Phosphoglucomutase, middle and C-terminal domain	12
Valyl-tRNA synthetase (ValRS)	12
Phosphoglucomutase, N-terminal domain	12
Hormone binding domain of the atrial natriuretic peptide receptor	12
Hypothetical protein PA2201	12
Phosphoglucomutase	12
Caspase-2	12
Phenylalanyl-tRNA synthetase	12
Molybdate/tungstate transport system permease protein WtpB (ModB)	12
Hypothetical protein PAE3301	12
7S NGF protease subunits	12
Centromere DNA-binding protein complex Cbf3 subunit D, CBF3D	12
Phenyl-tRNA synthetase (PheRS) beta subunit, PheT, central domain	12
Histone acetyltransferase HAT1	12
Serum response factor (SRF) core	12
Multidrug resistance ABC transporter MsbA, C-terminal domain	12
DNA mismatch repair protein PMS2	12
Hypothetical transcriptional regulator PH1161	12
Pantothenate kinase 3, PANK3, N-terminal domain	12
DNA-binding protein LAG-1 (CSL)	12
Paramyxovirus hemagglutinin-neuraminidase head domain	12
VP4 membrane interaction domain	12
3-carboxy-cis,cis-muconate cycloisomerase (CMLE)	12
NADH-quinone oxidoreductase subunit N, NuoN/Nqo14	12
Conserved 'hypothetical' protein YjgF	12
NADH-quinone oxidoreductase chain 2, NQO2	12
Desulforedoxin	12
Replication initiation protein E1	12
Troponin I	12
Riboflavin synthase	12
Diaminopimelic acid dehydrogenase (DAPDH)	12
Osmoprotection protein ProX	12
NADH-dependent 2-ketopropyl coenzyme M oxidoreductase/carboxylase, middle domain	12
Reovirus core	12
Hypothetical protein SP2199	12
D-mannonate dehydratase	12
DNA-binding protein AlbA	12
DNA-binding C-terminal domain of the transcription factor MotA	12
N-carbamoylsarcosine amidohydrolase	12
Replication terminator protein (RTP)	12
Complement C1S component	12
Neuroserpin	12
Hypothetical protein TM0486	12
Hypothetical protein EF1440	12
Ni-containing carbon monoxide dehydrogenase	12
Restriction endonuclease NgoIV	12
Trehalose-6-phosphate synthase, OtsA	12
Hypothetical protein DR0370	12
Small-conductance potassium channel	12
Respiratory nitrate reductase 1 gamma chain	12
Hypothetical protein SSO2532	12
Resistin-like beta (FIZZ2)	12
Hypothetical protein CV1439	12
tRNA 2-thiouridine synthesizing protein C, TusC	12
Viral cyclin	12
Pantothenate kinase 3, PANK3, C-terminal domain	12
Resistin (ADSF, FIZZ3)	12
Riboflavin kinase domain of bifunctional FAD synthetase	12
3beta/17beta hydroxysteroid dehydrogenase	12
NADH-dependent 2-ketopropyl coenzyme M oxidoreductase/carboxylase, N- and C-terminal domain	12
NADH-dependent 2-ketopropyl coenzyme M oxidoreductase/carboxylase	12
N-terminal domain of Bacillus PurR	12
Disulfide bond isomerase, DsbC, N-terminal domain	12
Hypothetical protein YqeU	12
DNA polymerase I (Klenow fragment)	12
Hypothetical protein MTH1187	12
Chrac-16	12
Cytosolic NMN/NAMN adenylyltransferase	12
Cytosolic 5'-nucleotidase III	12
Domain B2 of PheRS-beta, PheT	12
Chrac-14	12
Tetramerization domain of the Mnt repressor	12
Hypothetical protein gbs1413	12
Signal sequence binding protein Ffh	12
Tetrahydrodipicolinate-N-succinlytransferase, THDP-succinlytransferase, DapD	12
Choline binding domain of autolysin C-LytA	12
Domains B1 and B5 of PheRS-beta, PheT	12
putative ATP-dependent RNA helicase PF2015, N-terminal domain	12
Periplasmic chaperon skp (HlpA)	12
Hypothetical protein Rv0760c	12
Ribosomal protein L19	12
NAD(P)H:flavin oxidoreductase	12
4-Chlorobenzoyl-CoA dehalogenase	12
Regulatory protein AraC	12
NAD-dependent deacetylase sirtuin-5	12
Thiol peroxidase Tpx	12
Hypothetical protein XCC0632	12
Hypothetical protein Atu0492	12
Hypothetical protein YbaW	12
Hypothetical protein SAV0024/SA0023	12
Receptor binding protein, rbp, N-terminal domain	12
Hypothetical protein MK0786	12
Topoisomerase VI-B subunit middle domain	12
Siroheme synthase CysG, domains 2 and 3	12
Siroheme synthase CysG, domain 1	12
Toscana virus N protein	12
Circadian oscillation regulator KaiB	12
Receptor binding protein, rbp, middle domain	12
Class theta GST	12
Hypothetical protein PA3696	12
Pyruvate dehydrogenase E1 component, Pyr module	12
